Specialty	Secondary specialty	Certification level	Gender	Medical school	Residence	Years of experience	Total average costs per patient per month	Total patients per month
ob	0	1	1	0	0	18	1104.3	6
im	0	2	1	1	0	14	75.5	3305
pd	0	0	0	1	1	0	79.1	103
fp	0	1	0	0	0	18	54.5	568
pd	1	1	0	0	0	41	117.3	534
gp	0	0	0	1	1	0	53.9	2822
pd	0	1	1	1	0	27	35.9	322
fp	0	1	0	0	0	9	39	898
pd	0	1	0	0	1	9	35.7	129
gp	0	2	0	1	1	0	18.2	181
fp	0	1	0	1	1	0	69.3	1237
fp	0	1	0	0	0	8	42.9	1771
ob	0	1	0	1	0	30	25.5	3
fp	0	1	0	1	0	0	80.8	431
im	0	2	0	0	0	6	77.7	1260
pd	0	1	0	0	0	13	33.1	20
fp	0	1	0	0	0	29	140.3	1049
pd	0	1	0	1	1	13	59.5	759
pd	0	1	0	1	0	29	2.1	36
gp	0	1	0	1	1	11	61	763
gp	1	2	0	1	0	0	45.9	21
ot	1	1	0	1	0	40	81.5	2
pd	0	1	1	0	0	13	16.5	18
gp	1	0	0	1	1	0	67.7	558
pd	0	2	1	1	0	8	60.2	12
gp	1	0	0	1	1	0	47.2	30
fp	0	1	0	0	0	11	34.9	176
fp	0	1	0	1	1	12	431.2	36
fp	0	1	0	0	0	34	18.9	565
gp	1	0	0	1	1	0	195.4	337
pd	0	2	0	1	0	3	80.3	13
im	0	0	0	1	1	0	41.9	319
im	0	2	0	1	0	16	56.7	357
fp	0	1	0	0	1	25	44	6716
fp	0	1	0	0	1	35	24	471
im	1	1	0	0	0	6	169.1	733
ob	0	1	0	1	0	24	24.6	2
ob	0	1	0	0	0	20	65.9	3
ob	0	1	0	0	0	20	58.5	7
pd	0	1	0	0	0	14	53.4	211
fp	0	1	0	0	0	19	56	1141
im	1	1	0	0	0	22	66.1	795
ob	0	2	0	1	1	16	126.7	2
fp	0	1	0	1	0	12	11.1	152
gp	0	2	0	0	1	32	47.6	1558
gp	1	0	0	0	0	32	3.1	71
fp	0	1	0	1	1	39	135.3	70
pd	0	1	0	0	0	34	52.4	387
pd	0	1	0	0	0	16	32.7	975
ot	1	0	0	0	0	28	32.8	85
im	0	2	0	0	0	6	140.2	111
ot	0	2	0	1	1	21	8.2	14
im	0	1	0	0	0	13	33.5	7424
fp	0	0	0	1	1	11	47.7	1412
im	0	1	0	0	0	22	117.5	354
pd	1	1	0	0	0	0	24.5	157
fp	0	1	0	0	0	11	57.6	2648
im	0	1	0	0	0	17	52.9	476
pd	0	1	1	0	0	17	30.6	490
im	0	2	0	0	0	16	135.9	291
fp	0	1	0	0	0	13	31	1413
im	0	1	0	0	0	47	151.1	971
im	1	2	0	0	0	0	17.1	48
pd	0	2	0	0	0	46	10.4	363
fp	0	1	0	1	1	40	52.7	958
im	0	2	0	0	0	8	16.8	21
pd	1	1	0	0	0	0	29.6	194
fp	0	2	0	1	1	43	51.3	1969
fp	0	1	0	0	0	12	14.8	1
im	0	2	0	0	0	38	66	517
pd	0	1	0	0	0	0	112.2	65
pd	0	1	0	1	1	12	24.7	218
ot	1	0	1	0	0	24	817.3	32
fp	0	2	0	0	0	21	52.5	1265
gp	1	1	0	1	1	0	33.4	103
fp	0	1	0	1	1	35	24.5	560
fp	0	1	0	0	0	12	27.2	128
gp	0	0	0	1	1	0	30.1	1568
pd	0	1	0	0	0	26	21	143
gp	0	0	0	1	1	0	43.2	187
im	0	0	0	0	0	6	40.6	51
fp	1	1	0	0	0	31	105.7	459
ob	0	2	0	0	0	10	1121	5
gp	1	1	0	1	1	0	164.1	190
fp	0	1	0	1	1	23	1.7	41
pd	0	2	1	1	0	15	34.2	849
pd	1	1	0	0	0	25	156.9	276
pd	0	1	1	1	0	0	24.3	262
pd	0	1	0	0	0	15	111.7	164
fp	0	1	0	1	0	13	35.8	845
im	0	1	1	1	0	14	55.1	417
pd	0	0	0	1	1	0	23.4	81
gp	1	2	0	1	0	0	69.3	74
im	0	1	0	0	0	15	93.5	2250
pd	0	2	0	0	0	37	42.5	520
fp	0	1	0	0	0	12	32.7	320
pd	0	1	1	0	0	12	10.4	324
ob	0	2	0	1	1	18	133.9	2
fp	0	1	0	0	1	29	64.1	2646
im	0	1	1	0	0	38	113.7	982
ot	1	1	0	1	0	0	46.1	22
fp	0	0	0	1	1	22	35.9	181
pd	0	1	1	0	0	11	32.7	977
fp	0	1	0	0	1	30	80.8	4
pd	0	1	0	0	0	27	30.4	261
fp	0	1	0	0	0	12	35.1	87
pd	0	2	1	1	0	33	31.6	360
pd	0	1	0	0	0	23	144.7	1066
im	0	2	0	1	0	18	18.4	765
fp	0	1	0	0	0	42	37.8	220
ot	1	1	0	1	1	14	52.2	42
pd	0	1	0	1	0	0	225.9	2359
im	0	1	1	0	0	15	4725.2	451
ot	1	1	0	0	0	16	86	1
im	0	2	1	0	0	6	59.4	889
pd	0	2	1	1	0	0	59.6	157
pd	0	2	0	1	0	15	78.6	602
fp	0	0	1	0	0	6	42.6	1702
fp	0	1	0	0	0	9	28.6	928
ot	1	1	0	0	1	32	36.2	740
fp	0	1	0	0	1	16	94.6	1039
im	0	2	0	1	0	0	169.8	212
ot	1	2	0	1	1	15	50.5	65
im	0	1	0	0	0	13	10.4	435
