MeasuredSignalmV	NoiseFilteredSignalmV	FrequencyMHz	Distancemm	Angleo
2.149552	1.934965	0.04	40	18.947368
1.908226	1.929654	0.04	40	23.684211
1.675492	1.923237	0.04	40	28.421053
2.295641	1.915758	0.04	40	33.157895
1.59057	1.907269	0.04	40	37.894737
1.762051	1.897826	0.04	40	42.631579
1.689164	1.887495	0.04	40	47.368421
1.712559	1.876345	0.04	40	52.105263
1.822845	1.864455	0.04	40	56.842105
1.598993	1.851903	0.04	40	61.578947
1.749543	1.838777	0.04	40	66.315789
1.600501	1.825166	0.04	40	71.052632
1.788385	1.811163	0.04	40	75.789474
1.76969	1.796863	0.04	40	80.526316
1.749434	1.782365	0.04	40	85.263158
1.887641	1.767767	0.04	40	90
1.750453	1.555635	0.04	50	0
1.238731	1.555152	0.04	50	4.736842
1.356285	1.553706	0.04	50	9.473684
1.824508	1.551307	0.04	50	14.210526
1.248719	1.547972	0.04	50	18.947368
2.150659	1.543723	0.04	50	23.684211
1.300499	1.53859	0.04	50	28.421053
1.302943	1.532607	0.04	50	33.157895
1.829179	1.525815	0.04	50	37.894737
1.791388	1.518261	0.04	50	42.631579
1.941257	1.509996	0.04	50	47.368421
1.67881	1.501076	0.04	50	52.105263
0.982061	1.491564	0.04	50	56.842105
1.126592	1.481523	0.04	50	61.578947
1.71882	1.471022	0.04	50	66.315789
0.812295	1.460133	0.04	50	71.052632
0.853662	1.44893	0.04	50	75.789474
1.142089	1.437491	0.04	50	80.526316
1.531865	1.425892	0.04	50	85.263158
1.402199	1.414214	0.04	50	90
1.311865	1.296362	0.04	60	0
1.244296	1.29596	0.04	60	4.736842
1.443663	1.294755	0.04	60	9.473684
1.34575	1.292756	0.04	60	14.210526
0.985881	1.289977	0.04	60	18.947368
0.779477	1.286436	0.04	60	23.684211
1.400133	1.282158	0.04	60	28.421053
1.202184	1.277172	0.04	60	33.157895
1.798022	1.271512	0.04	60	37.894737
1.095766	1.265217	0.04	60	42.631579
1.219467	1.25833	0.04	60	47.368421
1.304733	1.250897	0.04	60	52.105263
1.218408	1.24297	0.04	60	56.842105
0.959903	1.234602	0.04	60	61.578947
0.797451	1.225852	0.04	60	66.315789
1.282697	1.216778	0.04	60	71.052632
1.238267	1.207442	0.04	60	75.789474
1.031749	1.197909	0.04	60	80.526316
0.902707	1.188243	0.04	60	85.263158
1.070682	1.178511	0.04	60	90
1.607197	1.111168	0.04	70	0
1.272974	1.110823	0.04	70	4.736842
1.898212	1.10979	0.04	70	9.473684
1.049687	1.108077	0.04	70	14.210526
1.197193	1.105695	0.04	70	18.947368
1.088998	1.10266	0.04	70	23.684211
0.736962	1.098993	0.04	70	28.421053
0.865615	1.094719	0.04	70	33.157895
1.04212	1.089868	0.04	70	37.894737
1.047338	1.084472	0.04	70	42.631579
1.190875	1.078568	0.04	70	47.368421
0.510388	1.072197	0.04	70	52.105263
1.162389	1.065403	0.04	70	56.842105
0.951688	1.05823	0.04	70	61.578947
1.169873	1.05073	0.04	70	66.315789
1.111734	1.042952	0.04	70	71.052632
0.935699	1.03495	0.04	70	75.789474
1.366429	1.026779	0.04	70	80.526316
1.148702	1.018494	0.04	70	85.263158
1.19745	1.010153	0.04	70	90
0.772954	0.972272	0.04	80	0
1.012711	0.97197	0.04	80	4.736842
1.11289	0.971066	0.04	80	9.473684
0.721469	0.969567	0.04	80	14.210526
1.12403	0.967483	0.04	80	18.947368
0.771143	0.964827	0.04	80	23.684211
0.626339	0.961619	0.04	80	28.421053
0.982485	0.957879	0.04	80	33.157895
0.675628	0.953634	0.04	80	37.894737
0.768665	0.948913	0.04	80	42.631579
1.132868	0.943747	0.04	80	47.368421
0.921137	0.938173	0.04	80	52.105263
1.239173	0.932227	0.04	80	56.842105
0.582198	0.925952	0.04	80	61.578947
1.233501	0.919389	0.04	80	66.315789
1.109499	0.912583	0.04	80	71.052632
0.591364	0.905582	0.04	80	75.789474
0.568394	0.898432	0.04	80	80.526316
1.024907	0.891183	0.04	80	85.263158
1.248975	0.883883	0.04	80	90
0.765565	0.864242	0.04	90	0
0.809604	0.863973	0.04	90	4.736842
0.863396	0.86317	0.04	90	9.473684
1.435247	0.861837	0.04	90	14.210526
0.391379	0.859985	0.04	90	18.947368
1.208549	0.857624	0.04	90	23.684211
0.743714	0.854772	0.04	90	28.421053
0.615737	0.851448	0.04	90	33.157895
1.030757	0.847675	0.04	90	37.894737
0.447072	0.843478	0.04	90	42.631579
0.751528	0.838886	0.04	90	47.368421
0.83019	0.833931	0.04	90	52.105263
0.775196	0.828647	0.04	90	56.842105
1.090146	0.823068	0.04	90	61.578947
0.563861	0.817234	0.04	90	66.315789
1.137068	0.811185	0.04	90	71.052632
0.858416	0.804961	0.04	90	75.789474
0.969648	0.798606	0.04	90	80.526316
1.062068	0.792162	0.04	90	85.263158
0.484357	0.785674	0.04	90	90
0.695932	0.777817	0.04	100	0
0.885168	0.777576	0.04	100	4.736842
0.620818	0.776853	0.04	100	9.473684
0.737065	0.775654	0.04	100	14.210526
1.141618	0.773986	0.04	100	18.947368
0.463467	0.771862	0.04	100	23.684211
0.781953	0.769295	0.04	100	28.421053
0.731851	0.766303	0.04	100	33.157895
0.671271	0.762907	0.04	100	37.894737
0.835636	0.75913	0.04	100	42.631579
0.742619	0.754998	0.04	100	47.368421
1.19337	0.750538	0.04	100	52.105263
0.437627	0.745782	0.04	100	56.842105
1.050848	0.740761	0.04	100	61.578947
0.586148	0.735511	0.04	100	66.315789
0.746858	0.730067	0.04	100	71.052632
0.336296	0.724465	0.04	100	75.789474
1.015577	0.718745	0.04	100	80.526316
0.506864	0.712946	0.04	100	85.263158
0.938941	0.707107	0.04	100	90
8.08595	7.932213	0.05	10	0
8.104873	7.92975	0.05	10	4.736842
7.463793	7.922378	0.05	10	9.473684
8.197926	7.910147	0.05	10	14.210526
7.7293	7.893141	0.05	10	18.947368
7.279454	7.871476	0.05	10	23.684211
8.131914	7.8453	0.05	10	28.421053
7.74695	7.814792	0.05	10	33.157895
7.914141	7.78016	0.05	10	37.894737
7.582219	7.741641	0.05	10	42.631579
8.231714	7.699497	0.05	10	47.368421
7.90036	7.654018	0.05	10	52.105263
7.55276	7.605512	0.05	10	56.842105
7.600455	7.554313	0.05	10	61.578947
7.170403	7.500769	0.05	10	66.315789
7.556956	7.445247	0.05	10	71.052632
7.756038	7.388125	0.05	10	75.789474
7.529639	7.329793	0.05	10	80.526316
7.407033	7.270651	0.05	10	85.263158
7.337064	7.211103	0.05	10	90
3.860952	3.966106	0.05	20	0
3.738164	3.964875	0.05	20	4.736842
3.795883	3.961189	0.05	20	9.473684
4.170363	3.955074	0.05	20	14.210526
3.755302	3.946571	0.05	20	18.947368
3.603659	3.935738	0.05	20	23.684211
3.907567	3.92265	0.05	20	28.421053
3.857995	3.907396	0.05	20	33.157895
3.527868	3.89008	0.05	20	37.894737
3.75881	3.87082	0.05	20	42.631579
3.809527	3.849749	0.05	20	47.368421
3.971118	3.827009	0.05	20	52.105263
3.820317	3.802756	0.05	20	56.842105
4.340971	3.777157	0.05	20	61.578947
3.205478	3.750385	0.05	20	66.315789
4.075112	3.722623	0.05	20	71.052632
3.787302	3.694062	0.05	20	75.789474
3.6835	3.664897	0.05	20	80.526316
3.546793	3.635326	0.05	20	85.263158
3.552597	3.605551	0.05	20	90
2.805289	2.644071	0.05	30	0
2.448498	2.64325	0.05	30	4.736842
2.96551	2.640793	0.05	30	9.473684
2.733903	2.636716	0.05	30	14.210526
2.431003	2.631047	0.05	30	18.947368
2.927633	2.623825	0.05	30	23.684211
2.269853	2.6151	0.05	30	28.421053
2.447832	2.604931	0.05	30	33.157895
2.679393	2.593387	0.05	30	37.894737
2.662758	2.580547	0.05	30	42.631579
2.252157	2.566499	0.05	30	47.368421
2.510019	2.551339	0.05	30	52.105263
2.654369	2.535171	0.05	30	56.842105
2.544834	2.518104	0.05	30	61.578947
2.444226	2.500256	0.05	30	66.315789
2.489318	2.481749	0.05	30	71.052632
2.898156	2.462708	0.05	30	75.789474
2.326932	2.443264	0.05	30	80.526316
2.077719	2.42355	0.05	30	85.263158
2.121006	2.403701	0.05	30	90
2.38383	1.983053	0.05	40	0
1.916287	1.982437	0.05	40	4.736842
2.204927	1.980594	0.05	40	9.473684
1.779688	1.977537	0.05	40	14.210526
2.050689	1.973285	0.05	40	18.947368
2.135427	1.967869	0.05	40	23.684211
2.418893	1.961325	0.05	40	28.421053
1.966866	1.953698	0.05	40	33.157895
1.809693	1.94504	0.05	40	37.894737
1.593515	1.93541	0.05	40	42.631579
1.939272	1.924874	0.05	40	47.368421
2.110366	1.913504	0.05	40	52.105263
1.749467	1.901378	0.05	40	56.842105
1.607407	1.888578	0.05	40	61.578947
2.036717	1.875192	0.05	40	66.315789
2.138968	1.861312	0.05	40	71.052632
1.708662	1.847031	0.05	40	75.789474
1.500492	1.832448	0.05	40	80.526316
1.753101	1.817663	0.05	40	85.263158
1.778182	1.802776	0.05	40	90
1.428514	1.586443	0.05	50	0
1.749491	1.58595	0.05	50	4.736842
1.747863	1.584476	0.05	50	9.473684
1.35388	1.582029	0.05	50	14.210526
1.679651	1.578628	0.05	50	18.947368
1.598067	1.574295	0.05	50	23.684211
1.479846	1.56906	0.05	50	28.421053
1.926789	1.562958	0.05	50	33.157895
2.047328	1.556032	0.05	50	37.894737
1.67311	1.548328	0.05	50	42.631579
1.729538	1.539899	0.05	50	47.368421
1.475197	1.530804	0.05	50	52.105263
1.206677	1.521102	0.05	50	56.842105
1.611523	1.510863	0.05	50	61.578947
1.112577	1.500154	0.05	50	66.315789
1.109296	1.489049	0.05	50	71.052632
1.244899	1.477625	0.05	50	75.789474
1.557308	1.465959	0.05	50	80.526316
1.320405	1.45413	0.05	50	85.263158
1.406855	1.442221	0.05	50	90
1.114111	1.322035	0.05	60	0
1.420184	1.321625	0.05	60	4.736842
1.204433	1.320396	0.05	60	9.473684
0.844031	1.318358	0.05	60	14.210526
1.595794	1.315524	0.05	60	18.947368
1.435057	1.311913	0.05	60	23.684211
1.296238	1.30755	0.05	60	28.421053
1.287288	1.302465	0.05	60	33.157895
1.05639	1.296693	0.05	60	37.894737
1.325917	1.290273	0.05	60	42.631579
1.148626	1.28325	0.05	60	47.368421
1.110897	1.27567	0.05	60	52.105263
1.236526	1.267585	0.05	60	56.842105
1.1013	1.259052	0.05	60	61.578947
1.156459	1.250128	0.05	60	66.315789
1.667749	1.240874	0.05	60	71.052632
1.215386	1.231354	0.05	60	75.789474
1.339887	1.221632	0.05	60	80.526316
1.076529	1.211775	0.05	60	85.263158
1.102594	1.20185	0.05	60	90
1.097934	1.133173	0.05	70	0
1.271032	1.132821	0.05	70	4.736842
0.906643	1.131768	0.05	70	9.473684
0.780544	1.130021	0.05	70	14.210526
1.386195	1.127592	0.05	70	18.947368
0.845748	1.124497	0.05	70	23.684211
0.654554	1.120757	0.05	70	28.421053
1.403496	1.116399	0.05	70	33.157895
1.187146	1.111451	0.05	70	37.894737
0.54446	1.105949	0.05	70	42.631579
1.236496	1.099928	0.05	70	47.368421
1.119209	1.093431	0.05	70	52.105263
0.924372	1.086502	0.05	70	56.842105
1.246395	1.079188	0.05	70	61.578947
0.862972	1.071538	0.05	70	66.315789
1.191592	1.063607	0.05	70	71.052632
1.011554	1.055446	0.05	70	75.789474
1.261305	1.047113	0.05	70	80.526316
0.760156	1.038664	0.05	70	85.263158
1.131292	1.030158	0.05	70	90
0.793505	0.991527	0.05	80	0
0.977376	0.991219	0.05	80	4.736842
0.918412	0.990297	0.05	80	9.473684
1.047099	0.988768	0.05	80	14.210526
1.193027	0.986643	0.05	80	18.947368
1.204564	0.983935	0.05	80	23.684211
0.800062	0.980663	0.05	80	28.421053
0.981519	0.976849	0.05	80	33.157895
0.983228	0.97252	0.05	80	37.894737
0.971779	0.967705	0.05	80	42.631579
0.057874	0.962437	0.05	80	47.368421
0.784528	0.956752	0.05	80	52.105263
1.284473	0.950689	0.05	80	56.842105
0.458357	0.944289	0.05	80	61.578947
0.498514	0.937596	0.05	80	66.315789
0.870259	0.930656	0.05	80	71.052632
0.888884	0.923516	0.05	80	75.789474
0.946989	0.916224	0.05	80	80.526316
0.920938	0.908831	0.05	80	85.263158
0.283581	0.901388	0.05	80	90
1.127119	0.881357	0.05	90	0
0.535447	0.881083	0.05	90	4.736842
0.609297	0.880264	0.05	90	9.473684
0.972251	0.878905	0.05	90	14.210526
0.728946	0.877016	0.05	90	18.947368
0.48072	0.874608	0.05	90	23.684211
0.784518	0.8717	0.05	90	28.421053
0.877504	0.86831	0.05	90	33.157895
0.97658	0.864462	0.05	90	37.894737
0.515278	0.860182	0.05	90	42.631579
0.704241	0.8555	0.05	90	47.368421
1.09886	0.850446	0.05	90	52.105263
0.968707	0.845057	0.05	90	56.842105
0.658935	0.839368	0.05	90	61.578947
0.748663	0.833419	0.05	90	66.315789
0.828333	0.82725	0.05	90	71.052632
0.763501	0.820903	0.05	90	75.789474
0.746475	0.814421	0.05	90	80.526316
0.852985	0.80785	0.05	90	85.263158
0.857177	0.801234	0.05	90	90
0.803262	0.793221	0.05	100	0
0.59283	0.792975	0.05	100	4.736842
1.077225	0.792238	0.05	100	9.473684
1.067554	0.791015	0.05	100	14.210526
0.683742	0.789314	0.05	100	18.947368
0.49311	0.787148	0.05	100	23.684211
0.662642	0.78453	0.05	100	28.421053
1.31574	0.781479	0.05	100	33.157895
0.721734	0.778016	0.05	100	37.894737
0.908139	0.774164	0.05	100	42.631579
0.98746	0.76995	0.05	100	47.368421
0.491508	0.765402	0.05	100	52.105263
1.015397	0.760551	0.05	100	56.842105
0.799769	0.755431	0.05	100	61.578947
1.122225	0.750077	0.05	100	66.315789
0.803607	0.744525	0.05	100	71.052632
0.731024	0.738812	0.05	100	75.789474
0.897169	0.732979	0.05	100	80.526316
0.920778	0.727065	0.05	100	85.263158
0.363467	0.72111	0.05	100	90
7.850244	8.041679	0.066667	10	0
7.946738	8.039182	0.066667	10	4.736842
7.96875	8.031708	0.066667	10	9.473684
8.309154	8.019309	0.066667	10	14.210526
7.996908	8.002068	0.066667	10	18.947368
7.959303	7.980104	0.066667	10	23.684211
7.570481	7.953567	0.066667	10	28.421053
8.004748	7.922638	0.066667	10	33.157895
8.075635	7.887528	0.066667	10	37.894737
7.984429	7.848477	0.066667	10	42.631579
8.013054	7.805752	0.066667	10	47.368421
7.812364	7.759645	0.066667	10	52.105263
7.845749	7.71047	0.066667	10	56.842105
7.659591	7.658564	0.066667	10	61.578947
7.366908	7.604281	0.066667	10	66.315789
7.687628	7.547993	0.066667	10	71.052632
7.57922	7.490082	0.066667	10	75.789474
7.476803	7.430946	0.066667	10	80.526316
7.371224	7.370988	0.066667	10	85.263158
6.886674	7.310617	0.066667	10	90
3.879738	4.020839	0.066667	20	0
3.612721	4.019591	0.066667	20	4.736842
3.742555	4.015854	0.066667	20	9.473684
4.004984	4.009654	0.066667	20	14.210526
3.912434	4.001034	0.066667	20	18.947368
3.90422	3.990052	0.066667	20	23.684211
4.034148	3.976783	0.066667	20	28.421053
3.681335	3.961319	0.066667	20	33.157895
3.76428	3.943764	0.066667	20	37.894737
3.606585	3.924238	0.066667	20	42.631579
3.618754	3.902876	0.066667	20	47.368421
3.528173	3.879822	0.066667	20	52.105263
3.842199	3.855235	0.066667	20	56.842105
3.986302	3.829282	0.066667	20	61.578947
4.517707	3.802141	0.066667	20	66.315789
3.482829	3.773996	0.066667	20	71.052632
3.64257	3.745041	0.066667	20	75.789474
3.937767	3.715473	0.066667	20	80.526316
3.587334	3.685494	0.066667	20	85.263158
3.545242	3.655309	0.066667	20	90
3.068115	2.68056	0.066667	30	0
2.265899	2.679727	0.066667	30	4.736842
2.816241	2.677236	0.066667	30	9.473684
3.155334	2.673103	0.066667	30	14.210526
2.817561	2.667356	0.066667	30	18.947368
2.691392	2.660035	0.066667	30	23.684211
3.03434	2.651189	0.066667	30	28.421053
2.578623	2.640879	0.066667	30	33.157895
2.387742	2.629176	0.066667	30	37.894737
2.658543	2.616159	0.066667	30	42.631579
2.606505	2.601917	0.066667	30	47.368421
2.344211	2.586548	0.066667	30	52.105263
2.493211	2.570157	0.066667	30	56.842105
2.479154	2.552855	0.066667	30	61.578947
2.743115	2.53476	0.066667	30	66.315789
2.232267	2.515998	0.066667	30	71.052632
2.354638	2.496694	0.066667	30	75.789474
2.443474	2.476982	0.066667	30	80.526316
2.508324	2.456996	0.066667	30	85.263158
2.828504	2.436872	0.066667	30	90
2.071639	2.01042	0.066667	40	0
1.611377	2.009796	0.066667	40	4.736842
1.935167	2.007927	0.066667	40	9.473684
2.199378	2.004827	0.066667	40	14.210526
2.123344	2.000517	0.066667	40	18.947368
2.446767	1.995026	0.066667	40	23.684211
2.002065	1.988392	0.066667	40	28.421053
1.239191	1.980659	0.066667	40	33.157895
2.075467	1.971882	0.066667	40	37.894737
1.404491	1.962119	0.066667	40	42.631579
1.881151	1.951438	0.066667	40	47.368421
2.010463	1.939911	0.066667	40	52.105263
1.772896	1.927618	0.066667	40	56.842105
1.881759	1.914641	0.066667	40	61.578947
1.961589	1.90107	0.066667	40	66.315789
2.25883	1.886998	0.066667	40	71.052632
1.9775	1.872521	0.066667	40	75.789474
1.812361	1.857737	0.066667	40	80.526316
1.07054	1.842747	0.066667	40	85.263158
1.461029	1.827654	0.066667	40	90
1.697743	1.608336	0.066667	50	0
1.914011	1.607836	0.066667	50	4.736842
1.687509	1.606342	0.066667	50	9.473684
1.567617	1.603862	0.066667	50	14.210526
1.65122	1.600414	0.066667	50	18.947368
1.192013	1.596021	0.066667	50	23.684211
1.261202	1.590713	0.066667	50	28.421053
1.488064	1.584528	0.066667	50	33.157895
1.784953	1.577506	0.066667	50	37.894737
1.56324	1.569695	0.066667	50	42.631579
1.509298	1.56115	0.066667	50	47.368421
1.381341	1.551929	0.066667	50	52.105263
2.201784	1.542094	0.066667	50	56.842105
1.950859	1.531713	0.066667	50	61.578947
1.492997	1.520856	0.066667	50	66.315789
1.44724	1.509599	0.066667	50	71.052632
1.729137	1.498016	0.066667	50	75.789474
1.594217	1.486189	0.066667	50	80.526316
1.351844	1.474198	0.066667	50	85.263158
1.763548	1.462123	0.066667	50	90
1.282543	1.34028	0.066667	60	0
1.505305	1.339864	0.066667	60	4.736842
1.472841	1.338618	0.066667	60	9.473684
1.557244	1.336551	0.066667	60	14.210526
1.185034	1.333678	0.066667	60	18.947368
1.277977	1.330017	0.066667	60	23.684211
1.540133	1.325594	0.066667	60	28.421053
0.91407	1.32044	0.066667	60	33.157895
1.236152	1.314588	0.066667	60	37.894737
1.338021	1.308079	0.066667	60	42.631579
1.453723	1.300959	0.066667	60	47.368421
0.824131	1.293274	0.066667	60	52.105263
0.722143	1.285078	0.066667	60	56.842105
1.496987	1.276427	0.066667	60	61.578947
0.942262	1.26738	0.066667	60	66.315789
1.107447	1.257999	0.066667	60	71.052632
1.138907	1.248347	0.066667	60	75.789474
1.584081	1.238491	0.066667	60	80.526316
0.679548	1.228498	0.066667	60	85.263158
1.267678	1.218436	0.066667	60	90
0.889614	1.148811	0.066667	70	0
1.374485	1.148455	0.066667	70	4.736842
1.258648	1.147387	0.066667	70	9.473684
1.345675	1.145616	0.066667	70	14.210526
1.04614	1.143153	0.066667	70	18.947368
0.864629	1.140015	0.066667	70	23.684211
1.203944	1.136224	0.066667	70	28.421053
1.645661	1.131805	0.066667	70	33.157895
0.940767	1.12679	0.066667	70	37.894737
1.016742	1.121211	0.066667	70	42.631579
1.568896	1.115107	0.066667	70	47.368421
1.290196	1.108521	0.066667	70	52.105263
1.312022	1.101496	0.066667	70	56.842105
0.712603	1.094081	0.066667	70	61.578947
0.897589	1.086326	0.066667	70	66.315789
1.225083	1.078285	0.066667	70	71.052632
1.213331	1.070012	0.066667	70	75.789474
1.077603	1.061564	0.066667	70	80.526316
1.08996	1.052998	0.066667	70	85.263158
0.48094	1.044374	0.066667	70	90
1.073004	1.00521	0.066667	80	0
0.713386	1.004898	0.066667	80	4.736842
1.11113	1.003964	0.066667	80	9.473684
0.787737	1.002414	0.066667	80	14.210526
1.190538	1.000259	0.066667	80	18.947368
0.854616	0.997513	0.066667	80	23.684211
1.375834	0.994196	0.066667	80	28.421053
1.115746	0.99033	0.066667	80	33.157895
1.548195	0.985941	0.066667	80	37.894737
0.823294	0.98106	0.066667	80	42.631579
0.94468	0.975719	0.066667	80	47.368421
0.509627	0.969956	0.066667	80	52.105263
0.990279	0.963809	0.066667	80	56.842105
0.538592	0.957321	0.066667	80	61.578947
0.580881	0.950535	0.066667	80	66.315789
1.186209	0.943499	0.066667	80	71.052632
0.605583	0.93626	0.066667	80	75.789474
0.986437	0.928868	0.066667	80	80.526316
1.167583	0.921373	0.066667	80	85.263158
0.898011	0.913827	0.066667	80	90
1.050009	0.89352	0.066667	90	0
0.813341	0.893242	0.066667	90	4.736842
0.975868	0.892412	0.066667	90	9.473684
0.85633	0.891034	0.066667	90	14.210526
1.360539	0.889119	0.066667	90	18.947368
1.098597	0.886678	0.066667	90	23.684211
1.169303	0.88373	0.066667	90	28.421053
0.822788	0.880293	0.066667	90	33.157895
0.989973	0.876392	0.066667	90	37.894737
0.752932	0.872053	0.066667	90	42.631579
1.446077	0.867306	0.066667	90	47.368421
0.82103	0.862183	0.066667	90	52.105263
1.112643	0.856719	0.066667	90	56.842105
0.882046	0.850952	0.066667	90	61.578947
0.698627	0.84492	0.066667	90	66.315789
0.861264	0.838666	0.066667	90	71.052632
0.635563	0.832231	0.066667	90	75.789474
0.437379	0.825661	0.066667	90	80.526316
0.947502	0.818999	0.066667	90	85.263158
1.03575	0.812291	0.066667	90	90
0.664815	0.804168	0.066667	100	0
0.615992	0.803918	0.066667	100	4.736842
0.659583	0.803171	0.066667	100	9.473684
1.047664	0.801931	0.066667	100	14.210526
0.701096	0.800207	0.066667	100	18.947368
0.826137	0.79801	0.066667	100	23.684211
0.926507	0.795357	0.066667	100	28.421053
0.721175	0.792264	0.066667	100	33.157895
0.817189	0.788753	0.066667	100	37.894737
0.830393	0.784848	0.066667	100	42.631579
1.420084	0.780575	0.066667	100	47.368421
0.971853	0.775964	0.066667	100	52.105263
0.530008	0.771047	0.066667	100	56.842105
0.476487	0.765856	0.066667	100	61.578947
0.678327	0.760428	0.066667	100	66.315789
0.71059	0.754799	0.066667	100	71.052632
0.812095	0.749008	0.066667	100	75.789474
0.851131	0.743095	0.066667	100	80.526316
0.566146	0.737099	0.066667	100	85.263158
0.703723	0.731062	0.066667	100	90
8.0761	7.778175	0.1	10	0
8.082245	7.775759	0.1	10	4.736842
7.522471	7.768531	0.1	10	9.473684
7.75915	7.756537	0.1	10	14.210526
7.622847	7.739862	0.1	10	18.947368
7.839814	7.718617	0.1	10	23.684211
7.673044	7.69295	0.1	10	28.421053
7.791023	7.663034	0.1	10	33.157895
7.447634	7.629074	0.1	10	37.894737
7.405991	7.591303	0.1	10	42.631579
7.859784	7.549978	0.1	10	47.368421
7.823836	7.505382	0.1	10	52.105263
7.443029	7.457819	0.1	10	56.842105
7.475164	7.407613	0.1	10	61.578947
7.474936	7.355109	0.1	10	66.315789
7.533517	7.300665	0.1	10	71.052632
7.586093	7.244652	0.1	10	75.789474
7.300489	7.187454	0.1	10	80.526316
7.51345	7.12946	0.1	10	85.263158
7.850987	7.071068	0.1	10	90
3.992716	3.889087	0.1	20	0
4.046906	3.88788	0.1	20	4.736842
3.671956	3.884265	0.1	20	9.473684
3.682161	3.878269	0.1	20	14.210526
4.57278	3.869931	0.1	20	18.947368
3.655071	3.859309	0.1	20	23.684211
3.719665	3.846475	0.1	20	28.421053
3.797235	3.831517	0.1	20	33.157895
3.586069	3.814537	0.1	20	37.894737
3.792169	3.795652	0.1	20	42.631579
3.715234	3.774989	0.1	20	47.368421
3.59331	3.752691	0.1	20	52.105263
3.385892	3.728909	0.1	20	56.842105
3.506945	3.703807	0.1	20	61.578947
3.954588	3.677555	0.1	20	66.315789
3.288031	3.650333	0.1	20	71.052632
3.302628	3.622326	0.1	20	75.789474
3.425729	3.593727	0.1	20	80.526316
3.474733	3.56473	0.1	20	85.263158
4.024183	3.535534	0.1	20	90
2.869797	2.592725	0.1	30	0
2.774084	2.59192	0.1	30	4.736842
3.312317	2.58951	0.1	30	9.473684
2.667933	2.585512	0.1	30	14.210526
2.417821	2.579954	0.1	30	18.947368
2.723939	2.572872	0.1	30	23.684211
2.717755	2.564317	0.1	30	28.421053
2.373705	2.554345	0.1	30	33.157895
2.612837	2.543025	0.1	30	37.894737
2.62701	2.530434	0.1	30	42.631579
2.357147	2.516659	0.1	30	47.368421
2.749465	2.501794	0.1	30	52.105263
2.015767	2.48594	0.1	30	56.842105
2.77704	2.469204	0.1	30	61.578947
2.257515	2.451703	0.1	30	66.315789
2.680594	2.433555	0.1	30	71.052632
2.150825	2.414884	0.1	30	75.789474
2.588219	2.395818	0.1	30	80.526316
2.44941	2.376487	0.1	30	85.263158
2.3572	2.357023	0.1	30	90
1.861293	1.944544	0.1	40	0
2.16279	1.94394	0.1	40	4.736842
